13	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	3	0	3	3	0	0	0	0	3	1	1	0	1	1	1	3	0	0	1	0	0	0	0	1	0	0	0	1	0	1	11	0	2	1	0	1	0	1	0
0	7	2	5	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	2	0	0
0	2	24	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0
0	5	2	35	0	4	2	0	1	10	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0
0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
1	0	0	4	0	45	0	3	0	5	0	1	0	1	0	1	3	0	0	2	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	1	2	0	1	1	0	1	0
0	1	1	2	0	0	41	3	1	1	0	1	0	2	0	0	4	1	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	2	1	1	0	3	0	0	3	1	1	2
0	1	2	0	0	3	3	54	6	0	0	3	1	0	0	0	2	0	0	1	1	2	2	1	3	1	0	1	0	1	3	0	0	1	0	0	1	0	0	2	0	2	0	2	2	0	1	4	0	2	2	0	2	0	1
0	0	0	0	0	0	1	5	44	2	0	0	0	1	1	0	12	2	2	1	1	1	1	1	2	0	0	0	0	1	2	1	0	0	0	1	1	1	1	2	0	1	1	1	2	1	1	1	2	1	0	2	1	0	0
1	0	0	6	0	5	1	0	2	45	0	1	0	3	0	1	1	0	0	2	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1	1	1	0	1	2	0	1	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
0	0	0	0	0	0	1	3	0	0	0	19	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	4	2	1
0	1	0	0	0	0	0	1	0	0	0	0	40	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	1	0	0	2	1	0
0	1	0	1	0	1	2	0	1	3	0	1	2	29	0	1	0	0	1	0	0	0	0	0	1	1	1	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	3	4	1	1	0	3	2	0
1	0	0	0	0	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0
